"MQ2","MQ4","MQ6","MQ9","MQ135","MQ136","MQ137","MQ138","Class"
"344.94","420.99333333333","557.34666666667","701.17333333333","803.36666666667","379.60666666667","357.74","629.82","Pork"
"346.14666666667","425.87333333333","558.10666666667","707.86666666667","804.52","371.52","352.92666666667","637.42","Pork"
"334.96666666667","408.87333333333","529.92","660.80666666667","805.18666666667","403","369.76","615.32","Pork"
"353.87919463087","444.60402684564","549.9932885906","696.77852348993","812.38926174497","399.48993288591","366.18120805369","648.69798657718","Pork"
"346.16216216216","425.88513513514","558.14189189189","707.86486486486","804.54054054054","371.55405405405","353.25","637.43918918919","Pork"
"344.94","420.99333333333","557.34666666667","701.17333333333","803.36666666667","379.60666666667","357.74","629.82","Pork"
"324.24","385.68","540.44","656.37333333333","789.08666666667","396.26","363.8","589.64666666667","Pork"
"349.1","424.95333333333","558.45333333333","701.59333333333","800.19333333333","366.06666666667","345.14","630.08","Pork"
"348.69333333333","422.4","559.24666666667","698.17333333333","799.19333333333","370.07333333333","357.15333333333","627.8","Pork"
"349.00666666667","419.78666666667","561.84666666667","698.46","802.35333333333","376.21333333333","350.92","626.26666666667","Pork"
"348.86666666667","417.24","563.85333333333","695.42666666667","802.44666666667","381.58666666667","360.54666666667","625.61333333333","Pork"
"349.42","415.31333333333","564.81333333333","690.88666666667","799.14666666667","389.22","366.52","622.57333333333","Pork"
"340.74666666667","395.04","555.74","666.25333333333","784.62666666667","399.68666666667","367.48","602.02666666667","Pork"
"326.85333333333","372.47333333333","546.14","643.26666666667","772.8","402.96666666667","368.11333333333","579.28","Pork"
"322.1","369.02","583.02","641.32666666667","757.78666666667","426.01333333333","384.34","579.94666666667","Pork"
"331.09333333333","383.24","582.32","656.24","765.35333333333","424.80666666667","384.16","602.07333333333","Pork"
"331.91333333333","388.04","579.08666666667","662.92666666667","767.32","419.16666666667","378.8","605.9","Pork"
"333.3","393.49333333333","577.17333333333","669.92666666667","766.26666666667","413.79333333333","375.42666666667","610.11333333333","Pork"
"333.04","397.04666666667","575.07333333333","673.27333333333","772.01333333333","410.10666666667","372.81333333333","612.04","Pork"
"333.48","401.48666666667","573.56","677.15333333333","775.2","407.1","371.76666666667","614.79333333333","Pork"
"333.34","403.32","572.71333333333","681.07333333333","777.98666666667","405.09333333333","371.2","617.08666666667","Pork"
"326.07333333333","391.21333333333","520.11333333333","679.02666666667","788.76666666667","463.22666666667","399.01333333333","587.78","Pork"
"347.8","440.64","544.30666666667","738.48666666667","811.26","436.32666666667","386.4","640.46","Pork"
"349.82","448.99333333333","547.72","748.90666666667","814.34","416.18666666667","375.82666666667","649.63333333333","Pork"
"353.01333333333","457.58","553.62","755.44666666667","821.92666666667","405.36666666667","368.50666666667","658.36","Pork"
"326.06","373.82","539.04666666667","638.42","742.2","480.67333333333","404.88666666667","561.72666666667","Pork"
